runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,nERR-IA@5,nERR-IA@10,nERR-IA@20,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,strec@5,strec@10,strec@20
haomingc_HW5,155,0.302572,0.307277,0.355907,0.388350,0.387347,0.448478,0.288768,0.301213,0.463482,0.354433,0.357086,0.548897,0.312891,0.410857,0.077361,0.133333,0.100000,0.200000,0.333333,0.333333,1.000000
haomingc_HW5,159,0.108926,0.147250,0.152101,0.148209,0.196541,0.202641,0.170174,0.252519,0.268592,0.218823,0.312904,0.331061,0.060143,0.084307,0.084177,0.120000,0.160000,0.210000,0.600000,0.600000,0.600000
haomingc_HW5,168,0.435703,0.500702,0.504079,0.514469,0.582331,0.585282,0.437464,0.577279,0.587283,0.502761,0.643315,0.651396,0.448230,0.539804,0.175979,0.240000,0.440000,0.390000,0.600000,0.800000,0.800000
haomingc_HW5,172,0.242057,0.311243,0.338349,0.242057,0.311243,0.338350,0.237156,0.404730,0.482009,0.237156,0.404730,0.482011,0.249438,0.249438,0.050196,0.150000,0.275000,0.325000,0.250000,0.750000,1.000000
haomingc_HW5,174,0.090772,0.100199,0.100187,0.140515,0.148191,0.146717,0.141812,0.164369,0.164312,0.206529,0.218909,0.213032,0.047241,0.074838,0.013178,0.100000,0.075000,0.037500,0.500000,0.500000,0.500000
haomingc_HW5,175,0.595058,0.591174,0.591104,0.595058,0.591174,0.591104,0.596066,0.588109,0.587907,0.596066,0.588109,0.587907,0.578125,0.578125,0.013840,0.400000,0.200000,0.100000,0.666667,0.666667,0.666667
haomingc_HW5,182,0.000000,0.070855,0.097232,0.000000,0.070855,0.097233,0.000000,0.171537,0.261674,0.000000,0.171537,0.261676,0.003901,0.003901,0.020807,0.000000,0.100000,0.162500,0.000000,0.750000,1.000000
haomingc_HW5,187,0.000000,0.045090,0.127331,0.000000,0.045090,0.127331,0.000000,0.102489,0.343119,0.000000,0.102489,0.343119,0.003521,0.003521,0.057344,0.000000,0.050000,0.325000,0.000000,0.500000,1.000000
haomingc_HW5,194,0.242057,0.292689,0.293604,0.326975,0.383768,0.384375,0.303139,0.405887,0.408497,0.390127,0.492226,0.493367,0.226563,0.317193,0.454280,0.200000,0.433333,0.550000,0.666667,0.666667,0.666667
haomingc_HW5,196,0.000000,0.000000,0.073124,0.000000,0.000000,0.084961,0.000000,0.000000,0.241171,0.000000,0.000000,0.292410,0.000133,0.000152,0.062792,0.000000,0.000000,0.150000,0.000000,0.000000,1.000000
haomingc_HW5,amean,0.201715,0.236648,0.263302,0.235563,0.271654,0.300647,0.217458,0.296813,0.380805,0.250590,0.329130,0.420487,0.193019,0.226214,0.100995,0.134333,0.183333,0.245000,0.361667,0.556667,0.823333
